Bereich,Anforderung,Status,Code-Hinweis,Risiko,Empfohlene Korrektur
Partnerübungen,A→B Reihenfolge und eigene Werte je Übung,vorhanden,Phase 4: Draft-Reihenfolge bleibt erhalten; WDH/Zeit/Variante/Hilfsmittel/pro Seite bleiben pro Mitglied individuell.,niedrig,Szenariotest A/B/C mit gemischtem Zeit-/WDH-Modus auf Gerät.
Partnerübungen,"Pause nur bei A wählbar, B/C fix",vorhanden,Phase 4: A ist Quelle für gemeinsame Sätze/Pause; B/C zeigen diese Werte gesperrt und können sie nicht separat speichern.,niedrig,UI auf kleinen iPhones visuell prüfen.
Partnerübungen,Einzelnes Gruppenmitglied bearbeiten ohne kompletten Flow,vorhanden,Phase 4: Member-Edit bleibt atomar; Strukturflow nur bei echter Methoden-/Giant-Strukturänderung; Giant 2→Superset.,niedrig,Erweitern/Reduzieren und Austausch als Geräteszenarien testen.
Training,Standard statt Normal,vorhanden,Phase 9: sichtbare Methodenbezeichnung ausschließlich über METHOD_LABEL = Standard; obsolete Runtime-i18n-Zuordnung Normal entfernt.,niedrig,Beibehalten; historische interne Datenkeys nicht umbenennen.
Training,Keine doppelte Empfehlung,vorhanden,"Phase 9: alter generischer Renderer entfernt; kanonische Live-Pipeline löscht Altblöcke und rendert exakt einen Tipp pro Übung, auch A/B/C in Partnerkarten.",niedrig,"Auf Gerät Einzel-,  Superset- und Giant-Karte visuell prüfen."
Eingaben,"Tastatur stabil, aktives Feld sichtbar, leerer Fokus = no-op",vorhanden,Phase 10: kanonischer Keyboard/Input-Manager; Live-Re-Render während echter Eingabe blockiert; VisualViewport hält aktives Feld sichtbar; Fokus+Blur ohne Input wird nicht committed.,niedrig,"Auf iPhone/iPad KG/WDH/Zeit, Planer, Ernährung und Sheets als Geräteszenarien prüfen."
Profil,Streak nur bis gestern,vorhanden,"Phase 7: zentrale dayData/streak-Pipeline; Berechnung startet explizit bei gestern. Eingebauter Test bestätigt, dass heute den Streak nicht erhöht.",niedrig,Beibehalten.
Profil,Wochenzusammenfassung nur 1x Sonntag/Montag + Settings abrufbar,vorhanden,"Phase 7: zentrale abgeschlossene Wochenrange + seenKey; automatisch nur Sonntag/Montag einmal pro Woche, manuell unter Daten & App abrufbar.",niedrig,Beibehalten; Geräteszenario Sonntag/Montag prüfen.
Einstellungen,Deutsch/Englisch vollständig außer Übungs-/Plannamen,vorhanden,"Phase 6+12: zentrale i18n-Pipeline inklusive dynamischer Wochenoffsets; Übungsnamen, Varianten, Hilfsmittel/Equipment und nutzerdefinierte Plannamen geschützt.",niedrig,Beibehalten; Release-Smoketest in beiden Sprachen.
Einstellungen,Textgröße nur Standard/Groß global,vorhanden,Phase 8: exakt zwei Modi normal/large; zentrale Root-CSS-Variable --text-scale; alte Extra-groß-Einstellung wird beim Laden auf Groß migriert; dynamische UI wird über einen globalen Skalierer erfasst.,niedrig,Beibehalten; auf iPhone/iPad Standard und Groß visuell prüfen.
Backup,Nur Backup/Backup.json nennen,vorhanden,Phase 3: UI nur Backup; Exportdatei exakt Backup.json.,niedrig,Beibehalten.
Backup,"Alle Nutzerdaten sichern, Built-in-Katalog nie zurückrollen",vorhanden,Phase 3: 22 explizite persönliche Schlüssel; STORAGE.library/DEFAULT_EXERCISES ausgeschlossen; persönliche Einstellungen enthalten.,niedrig,Bei neuen persistenten Nutzerfeldern Backup-Key-Liste mitpflegen.
Backup,Restore Round-trip zuverlässig,vorhanden,"Phase 3: atomarer Restore + automatischer In-Memory Round-trip-Test; 22/22 Schlüssel, Katalogschutz, Missing-Key-Löschung geprüft.",niedrig,Zusätzlich auf iPhone echten Datei-Export/-Import testen.
PWA,"Standby kehrt exakt zurück, echter Neustart definiert",vorhanden,"Phase 11: kanonische Resume-Policy; gleiches Dokument unverändert, iOS-Rekonstruktion <6h restauriert UI, Cold Start >=6h auf Training; aktives Workout bleibt erhalten.",niedrig,"Auf iPhone/iPad Standby kurz, iOS-Eviction/Reload und Kaltstart nach Resume-Fenster als Geräteszenarien prüfen."
Push,Render/Web-Push vorbereitet,vorhanden,"Phase 14: Settings-Hook repariert, SW-Icons/Precache korrigiert, VAPID/DB-Backend vorhanden, geschützter /api/tick Scheduler-Endpunkt ergänzt.",niedrig,Backend deployen und echte Zustellung auf installierter iPhone/iPad-PWA prüfen.
Architektur,Keine überlagerten Renderer/Legacy-Overrides,vorhanden,Phase 1+2: direkte window-Overrides konsolidiert; verbleibende mehrfache window-Overrides={},niedrig,Beibehalten; Regressionstests weiterführen.
